season,matchday,goals_by_matchday
2023,1,28
2023,2,30
2023,3,31
2023,4,41
2023,5,24
2023,6,30
2023,7,29
2023,8,27
2023,9,33
2023,10,30
2023,11,30
2023,12,37
2023,13,34
2023,14,38
2023,15,30
2023,16,27
2023,17,28
2023,18,23
2023,19,39
2023,20,35
2023,21,30
2023,22,39
2023,23,45
2023,24,37
2023,25,34
2023,26,34
2023,27,36
2023,28,30
2023,29,30
2023,30,32
2023,31,29
2023,32,35
2023,33,33
2023,34,40
2023,35,32
2023,36,36
2023,37,33
2023,38,37
2024,1,21
2024,2,32
2024,3,30
2024,4,23
2024,5,30
2024,6,34
2024,7,31
2024,8,29
2024,9,31
2024,10,27
2024,11,26
2024,12,31
2024,13,34
2024,14,35
2024,15,39
2024,16,31
2024,17,32
2024,18,17
2024,19,32
2024,20,32
2024,21,30
2024,22,39
2024,23,29
2024,24,34
2024,25,26
2024,26,33
2024,27,27
2024,28,20
2024,29,33
2024,30,20
2024,31,27
2024,32,36
2024,33,27
2024,34,32
2024,35,28
2024,36,22
2024,37,31
2024,38,24
